Country_Name;Year;Population
Bolivia;1971;4600596
Brazil;1971;98402200
Barbados;1971;240038
Brunei Darussalam;1971;135716
Bhutan;1971;301653
Botswana;1971;715811
Central African Republic;1971;1864757
Canada;1971;21645535
Central Europe and the Baltics;1971;99638983
Switzerland;1971;6213399
Channel Islands;1971;122413
Chile;1971;9741579
China;1971;841105000
Cote d'Ivoire;1971;5487594
Cameroon;1971;6948847
Congo, Rep.;1971;1376189
Colombia;1971;22611988
Comoros;1971;233125
Cabo Verde;1971;273053
Costa Rica;1971;1898366
Caribbean small states;1971;4940523
Cuba;1971;8869961
Curacao;1971;147389
Cayman Islands;1971;9583
Cyprus;1971;620860
Czech Republic;1971;9826815
Germany;1971;78312842
Djibouti;1971;169370
Dominica;1971;71566
Denmark;1971;4963126
Dominican Republic;1971;4631114
Algeria;1971;14960111
East Asia & Pacific (excluding high income);1971;1146964227
Early-demographic dividend;1971;1277520490
East Asia & Pacific;1971;1323056644
Europe & Central Asia (excluding high income);1971;317386564
Europe & Central Asia;1971;743158081
Ecuador;1971;6248831
Egypt, Arab Rep.;1971;35561087
Euro area;1971;288999688
Spain;1971;34191678
Estonia;1971;1376955
Ethiopia;1971;29246170
European Union;1971;444368185
Fragile and conflict affected situations;1971;156545910
Finland;1971;4612124
Fiji;1971;531601
France;1971;52480421
Faroe Islands;1971;38983
Micronesia, Fed. Sts.;1971;62107
Gabon;1971;601734
United Kingdom;1971;55896223
Georgia;1971;4009400
Ghana;1971;8827273
Gibraltar;1971;24844
Guinea;1971;4259102
Gambia, The;1971;460193
Guinea-Bissau;1971;724863
Equatorial Guinea;1971;284915
Greece;1971;8831036
Grenada;1971;94180
Greenland;1971;47200
Guatemala;1971;5577824
Guam;1971;85728
Guyana;1971;703811
High income;1971;860031660
Hong Kong SAR, China;1971;4045300
Honduras;1971;2766444
Heavily indebted poor countries (HIPC);1971;213971961
Croatia;1971;4435000
Haiti;1971;4793157
Hungary;1971;10367537
IBRD only;1971;2361792650
IDA & IBRD total;1971;2929455006
IDA total;1971;567662356
IDA blend;1971;212393671
Indonesia;1971;117921994
IDA only;1971;355268685
Isle of Man;1971;57711
India;1971;566605402
Ireland;1971;2992050
Iran, Islamic Rep.;1971;29281130
Iraq;1971;10255904
Iceland;1971;206098
Israel;1971;3069000
Italy;1971;54073490
Jamaica;1971;1895629
Jordan;1971;1739903
Japan;1971;105697000
Kazakhstan;1971;12966920
Kenya;1971;11657479
Kyrgyz Republic;1971;3022300
Cambodia;1971;7167716
Kiribati;1971;52020
St. Kitts and Nevis;1971;44490
Korea, Rep.;1971;32882704
Kosovo;1971;1247000
Latin America & Caribbean (excluding high income);1971;277924408
Lao PDR;1971;2759634
Lebanon;1971;2353569
Liberia;1971;1457714
Libya;1971;2208125
St. Lucia;1971;105389
Latin America & Caribbean;1971;295036273
Least developed countries: UN classification;1971;316378185
Low income;1971;200793533
Liechtenstein;1971;21726
Sri Lanka;1971;12690000
Lower middle income;1971;1218820931
Low & middle income;1971;2902258252
Lesotho;1971;1053524
Late-demographic dividend;1971;1371812796
Lithuania;1971;3179041
Luxembourg;1971;342421
Latvia;1971;2376389
Macao SAR, China;1971;253881
St. Martin (French part);1971;5601
Morocco;1971;16389949
Monaco;1971;23722
Moldova;1971;3088000
Madagascar;1971;6760352
Maldives;1971;119315
Middle East & North Africa;1971;142629493
Mexico;1971;53719547
Marshall Islands;1971;21310
Middle income;1971;2701464719
Macedonia, FYR;1971;1739525
Mali;1971;6044532
Malta;1971;302700
Myanmar;1971;27836648
Middle East & North Africa (excluding high income);1971;130989602
Montenegro;1971;515449
Mongolia;1971;1317049
Northern Mariana Islands;1971;13658
Mozambique;1971;9468836
Mauritania;1971;1182945
Mauritius;1971;839230
Malawi;1971;4728693
Malaysia;1971;11182078
North America;1971;229361135
Namibia;1971;804309
New Caledonia;1971;120000
Niger;1971;4623121
Nigeria;1971;57453734
Nicaragua;1971;2472656
Netherlands;1971;13194497
Norway;1971;3903039
Nepal;1971;12232454
Nauru;1971;6619
New Zealand;1971;2853000
OECD members;1971;902969602
Oman;1971;748971
Other small states;1971;11306275
Pakistan;1971;59690467
Panama;1971;1563113
Peru;1971;13704333
Philippines;1971;36851055
Palau;1971;11656
Papua New Guinea;1971;2503074
Poland;1971;32783500
Pre-demographic dividend;1971;247059252
Puerto Rico;1971;2762190
Korea, Dem. Peopleís Rep.;1971;14812363
Portugal;1971;8643756
Paraguay;1971;2535355
Pacific island small states;1971;1177886
Post-demographic dividend;1971;848920841
French Polynesia;1971;114311
Qatar;1971;119246
Romania;1971;20461567
Russian Federation;1971;131155000
Rwanda;1971;3868345
South Asia;1971;729469562
Saudi Arabia;1971;6096106
Sudan;1971;10568788
Senegal;1971;4348499
Singapore;1971;2112900
Solomon Islands;1971;166214
Sierra Leone;1971;2558395
El Salvador;1971;3765252
San Marino;1971;19299
Somalia;1971;3477568
Sub-Saharan Africa (excluding high income);1971;299523889
South Sudan;1971;3733547
Sub-Saharan Africa;1971;299578724
Small states;1971;17424684
Sao Tome and Principe;1971;75989
Suriname;1971;372619
Slovak Republic;1971;4557449
Slovenia;1971;1738335
Sweden;1971;8098334
Swaziland;1971;458717
Seychelles;1971;54835
Syrian Arab Republic;1971;6599366
Turks and Caicos Islands;1971;5750
Chad;1971;3727382
East Asia & Pacific (IDA & IBRD countries);1971;1132130567
Europe & Central Asia (IDA & IBRD countries);1971;354605064
Togo;1971;2185661
Thailand;1971;37964925
Tajikistan;1971;3013956
Turkmenistan;1971;2252386
Latin America & the Caribbean (IDA & IBRD countries);1971;282681487
Middle East & North Africa (IDA & IBRD countries);1971;130989602
Timor-Leste;1971;618508
Tonga;1971;85520
South Asia (IDA & IBRD);1971;729469562
Sub-Saharan Africa (IDA & IBRD countries);1971;299578724
Trinidad and Tobago;1971;956364
Tunisia;1971;5208154
Turkey;1971;35608079
Tuvalu;1971;7379
Tanzania;1971;14045757
Uganda;1971;9720365
Ukraine;1971;47433807
Upper middle income;1971;1482643788
Uruguay;1971;2818269
United States;1971;207661000
Uzbekistan;1971;12361237
St. Vincent and the Grenadines;1971;91440
Venezuela, RB;1971;11937803
British Virgin Islands;1971;9969
Virgin Islands (U.S.);1971;71000
Vietnam;1971;43725000
Vanuatu;1971;88023
Samoa;1971;145437
Yemen, Rep.;1971;6262934
South Africa;1971;22602373
Congo, Dem. Rep.;1971;20563111
Zambia;1971;4331002
Zimbabwe;1971;5385342
Aruba;1972;59849
Andorra;1972;26892
Afghanistan;1972;11716896
Angola;1972;6587647
Albania;1972;2243126
Arab World;1972;128801209
United Arab Emirates;1972;324069
Argentina;1972;24782950
Armenia;1972;2643464
American Samoa;1972;28490
Antigua and Barbuda;1972;67205
Australia;1972;13177000
Austria;1972;7544201
Azerbaijan;1972;5393176
Burundi;1972;3547335
Belgium;1972;9711115
Benin;1972;3039300
Burkina Faso;1972;5825171
Bangladesh;1972;67578486
Bulgaria;1972;8576200
Bahrain;1972;229588
Bahamas, The;1972;177844
Bosnia and Herzegovina;1972;3838002
Belarus;1972;9188968
Belize;1972;127148
Bermuda;1972;54200
Bolivia;1972;4698090
Brazil;1972;100844391
Barbados;1972;241441
Brunei Darussalam;1972;141836
Bhutan;1972;312712
Botswana;1972;739754
Central African Republic;1972;1900702
Canada;1972;21993631
Central Europe and the Baltics;1972;100363597
Switzerland;1972;6260956
Channel Islands;1972;123611
Chile;1972;9916558
China;1972;862030000
Cote d'Ivoire;1972;5747633
Cameroon;1972;7134374
Congo, Rep.;1972;1419305
Colombia;1972;23146803
Comoros;1972;237797
Cabo Verde;1972;273788
Costa Rica;1972;1947048
Caribbean small states;1972;4999973
Cuba;1972;9025299
Curacao;1972;147710
Cayman Islands;1972;10137
Cyprus;1972;628000
Czech Republic;1972;9867632
Germany;1972;78688452
Djibouti;1972;179212
Dominica;1972;71737
Denmark;1972;4991596
Dominican Republic;1972;4759935
Algeria;1972;15377095
East Asia & Pacific (excluding high income);1972;1175990054
Early-demographic dividend;1972;1309264805
East Asia & Pacific;1972;1354930027
Europe & Central Asia (excluding high income);1972;321109635
Europe & Central Asia;1972;749515255
Ecuador;1972;6428707
Egypt, Arab Rep.;1972;36302154
Euro area;1972;290938923
Spain;1972;34502705
Estonia;1972;1392518
Ethiopia;1972;30135007
European Union;1972;447151812
Fragile and conflict affected situations;1972;160728970
Finland;1972;4639657
Fiji;1972;542811
France;1972;52959228
Faroe Islands;1972;39360
Micronesia, Fed. Sts.;1972;62298
Gabon;1972;613129
United Kingdom;1972;56086065
Georgia;1972;4205300
Ghana;1972;9083575
Gibraltar;1972;24991
Guinea;1972;4293208
Gambia, The;1972;474538
Guinea-Bissau;1972;738117
Equatorial Guinea;1972;274906
Greece;1972;8888628
Grenada;1972;93937
Greenland;1972;48300
Guatemala;1972;5737720
Guam;1972;87585
Guyana;1972;712188
High income;1972;868875520
Hong Kong SAR, China;1972;4123600
Honduras;1972;2845260
Heavily indebted poor countries (HIPC);1972;219712407
Croatia;1972;4457000
Haiti;1972;4876558
Hungary;1972;10398489
IBRD only;1972;2415419876
IDA & IBRD total;1972;2997265511
IDA total;1972;581845635
IDA blend;1972;217715341
Indonesia;1972;121059511
IDA only;1972;364130294
Isle of Man;1972;58563
India;1972;579800632
Ireland;1972;3036850
Iran, Islamic Rep.;1972;30073845
Iraq;1972;10599846
Iceland;1972;209137
Israel;1972;3148000
Italy;1972;54381345
Jamaica;1972;1925162
Jordan;1972;1811870
Japan;1972;107188000
Kazakhstan;1972;13176584
Kenya;1972;12083165
Kyrgyz Republic;1972;3088200
Cambodia;1972;7331162
Kiribati;1972;52823
St. Kitts and Nevis;1972;44328
Korea, Rep.;1972;33505406
Kosovo;1972;1278000
Latin America & Caribbean (excluding high income);1972;285048696
Lao PDR;1972;2837967
Lebanon;1972;2416743
Liberia;1972;1497356
Libya;1972;2306668
St. Lucia;1972;106458
Latin America & Caribbean;1972;302419008
Least developed countries: UN classification;1972;323858659
Low income;1972;205923794
Liechtenstein;1972;22153
Sri Lanka;1972;12861000
Lower middle income;1972;1247527713
Low & middle income;1972;2970140184
Lesotho;1972;1075281
Late-demographic dividend;1972;1401919858
Lithuania;1972;3213622
Luxembourg;1972;346600
Latvia;1972;2395674
Macao SAR, China;1972;254282
St. Martin (French part);1972;5756
Morocco;1972;16740525
Monaco;1972;24052
Moldova;1972;3131000
Madagascar;1972;6952383
Maldives;1972;123372
Middle East & North Africa;1972;146461363
Mexico;1972;55480125
Marshall Islands;1972;22340
Middle income;1972;2764216390
Macedonia, FYR;1972;1754954
Mali;1972;6147459
Malta;1972;302450
Myanmar;1972;28517289
Middle East & North Africa (excluding high income);1972;134301647
Montenegro;1972;521785
Mongolia;1972;1356669
Northern Mariana Islands;1972;14142
Mozambique;1972;9679753
Mauritania;1972;1217912
Mauritius;1972;852053
Malawi;1972;4859569
Malaysia;1972;11460080
North America;1972;231943831
Namibia;1972;829806
New Caledonia;1972;125500
Niger;1972;4753054
Nigeria;1972;58829319
Nicaragua;1972;2549779
Netherlands;1972;13328593
Norway;1972;3933004
Nepal;1972;12487785
Nauru;1972;6743
New Zealand;1972;2903900
OECD members;1972;913403656
Oman;1972;776379
Other small states;1972;11541593
Pakistan;1972;61341255
Panama;1972;1607835
Peru;1972;14072476
Philippines;1972;37925400
Palau;1972;11853
Papua New Guinea;1972;2576093
Poland;1972;33055650
Pre-demographic dividend;1972;253585295
Puerto Rico;1972;2817256
Korea, Dem. Peopleís Rep.;1972;15214615
Portugal;1972;8630430
Paraguay;1972;2596741
Pacific island small states;1972;1203422
Post-demographic dividend;1972;856920648
French Polynesia;1972;118279
Qatar;1972;130377
Romania;1972;20657957
Russian Federation;1972;131909000
Rwanda;1972;3983707
South Asia;1972;746222138
Saudi Arabia;1972;6382106
Sudan;1972;10918137
Senegal;1972;4485342
Singapore;1972;2152400
Solomon Islands;1972;172599
Sierra Leone;1972;2605837
El Salvador;1972;3862132
San Marino;1972;19396
Somalia;1972;3490295
Sub-Saharan Africa (excluding high income);1972;307468014
South Sudan;1972;3823605
Sub-Saharan Africa;1972;307524082
Small states;1972;17744988
Sao Tome and Principe;1972;77536
Suriname;1972;371318
Slovak Republic;1972;4596622
Slovenia;1972;1752233
Sweden;1972;8122300
Swaziland;1972;472337
Seychelles;1972;56068
Syrian Arab Republic;1972;6828765
Turks and Caicos Islands;1972;5924
Chad;1972;3816299
East Asia & Pacific (IDA & IBRD countries);1972;1160753692
Europe & Central Asia (IDA & IBRD countries);1972;358622285
Togo;1972;2247575
Thailand;1972;39061999
Tajikistan;1972;3112041
Turkmenistan;1972;2318070
Latin America & the Caribbean (IDA & IBRD countries);1972;289841667
Middle East & North Africa (IDA & IBRD countries);1972;134301647
Timor-Leste;1972;636100
Tonga;1972;86349
South Asia (IDA & IBRD);1972;746222138
Sub-Saharan Africa (IDA & IBRD countries);1972;307524082
Trinidad and Tobago;1972;968742
Tunisia;1972;5294325
Turkey;1972;36475356
Tuvalu;1972;7459
Tanzania;1972;14506496
Uganda;1972;9988321
Ukraine;1972;47783013
Upper middle income;1972;1516688677
Uruguay;1972;2821437
United States;1972;209896000
Uzbekistan;1972;12762439
St. Vincent and the Grenadines;1972;92465
Venezuela, RB;1972;12286434
British Virgin Islands;1972;10125
Virgin Islands (U.S.);1972;76000
Vietnam;1972;44758000
Vanuatu;1972;90824
Samoa;1972;147323
Yemen, Rep.;1972;6370599
South Africa;1972;23126276
Congo, Dem. Rep.;1972;21120996
Zambia;1972;4484141
Zimbabwe;1972;5573312
Aruba;1973;60239
Andorra;1973;28231
Afghanistan;1973;12022514
Angola;1973;6750215
Albania;1973;2296752
Arab World;1973;132298955
United Arab Emirates;1973;382823
Argentina;1973;25213388
Armenia;1973;2705584
American Samoa;1973;29014
Antigua and Barbuda;1973;67972
Australia;1973;13380000
Austria;1973;7586115
Azerbaijan;1973;5496061
Burundi;1973;3582952
Belgium;1973;9741720
Benin;1973;3110074
Burkina Faso;1973;5930487
Bangladesh;1973;68658472
Bulgaria;1973;8620967
Bahrain;1973;239860
Bahamas, The;1973;181489
Bosnia and Herzegovina;1973;3885229
Belarus;1973;9257272
Belize;1973;129294
Bermuda;1973;53800
Bolivia;1973;4798510
Brazil;1973;103320787
Barbados;1973;242980
Brunei Darussalam;1973;148067
Bhutan;1973;324465
Botswana;1973;765177
Central African Republic;1973;1937383
Canada;1973;22369408
Central Europe and the Baltics;1973;101120519
Switzerland;1973;6307347
Channel Islands;1973;124728
Chile;1973;10087377
China;1973;881940000
Cote d'Ivoire;1973;6021405
Cameroon;1973;7327874
Congo, Rep.;1973;1464052
Colombia;1973;23674505
Comoros;1973;242875
Cabo Verde;1973;273211
Costa Rica;1973;1995744
Caribbean small states;1973;5060335
Cuba;1973;9176051
Curacao;1973;146912
Cayman Islands;1973;10785
Cyprus;1973;635109
Czech Republic;1973;9922266
Germany;1973;78936666
Djibouti;1973;190536
Dominica;1973;71745
Denmark;1973;5021861
Dominican Republic;1973;4889437
Algeria;1973;15804428
East Asia & Pacific (excluding high income);1973;1204100118
Early-demographic dividend;1973;1341833433
East Asia & Pacific;1973;1385247264
Europe & Central Asia (excluding high income);1973;324679698
Europe & Central Asia;1973;755582491
Ecuador;1973;6611916
Egypt, Arab Rep.;1973;37046807
Euro area;1973;292789890
Spain;1973;34817071
Estonia;1973;1405951
Ethiopia;1973;31028728
European Union;1973;449788759
Fragile and conflict affected situations;1973;165052113
Finland;1973;4666081
Fiji;1973;554109
France;1973;53441264
Faroe Islands;1973;39731
Micronesia, Fed. Sts.;1973;62289
Gabon;1973;624625
United Kingdom;1973;56194527
Georgia;1973;4242500
Ghana;1973;9350111
Gibraltar;1973;25121
Guinea;1973;4319502
Gambia, The;1973;489860
Guinea-Bissau;1973;751512
Equatorial Guinea;1973;262399
Greece;1973;8929086
Grenada;1973;93629
Greenland;1973;49000
Guatemala;1973;5901980
Guam;1973;89463
Guyana;1973;720919
High income;1973;876847559
Hong Kong SAR, China;1973;4241600
Honduras;1973;2928190
Heavily indebted poor countries (HIPC);1973;225623793
Croatia;1973;4478000
Haiti;1973;4960655
Hungary;1973;10432055
IBRD only;1973;2468618464
IDA & IBRD total;1973;3065048540
IDA total;1973;596430076
IDA blend;1973;223308793
Indonesia;1973;124242299
IDA only;1973;373121283
Isle of Man;1973;59326
India;1973;593451889
Ireland;1973;3085950
Iran, Islamic Rep.;1973;30903565
Iraq;1973;10951169
Iceland;1973;212317
Israel;1973;3278000
Italy;1973;54751406
Jamaica;1973;1956080
Jordan;1973;1873548
Japan;1973;108079000
Kazakhstan;1973;13382211
Kenya;1973;12529810
Kyrgyz Republic;1973;3153800
Cambodia;1973;7478147
Kiribati;1973;53605
St. Kitts and Nevis;1973;44314
Korea, Rep.;1973;34103149
Kosovo;1973;1308000
Latin America & Caribbean (excluding high income);1973;292280590
Lao PDR;1973;2916148
Lebanon;1973;2480426
Liberia;1973;1538882
Libya;1973;2409101
St. Lucia;1973;107461
Latin America & Caribbean;1973;309912432
Least developed countries: UN classification;1973;331415936
Low income;1973;211164322
Liechtenstein;1973;22562
Sri Lanka;1973;13091000
Lower middle income;1973;1277055585
Low & middle income;1973;3037952919
Lesotho;1973;1098033
Late-demographic dividend;1973;1431017776
Lithuania;1973;3244438
Luxembourg;1973;350450
Latvia;1973;2415819
Macao SAR, China;1973;252845
St. Martin (French part);1973;5915
Morocco;1973;17097003
Monaco;1973;24440
Moldova;1973;3174000
Madagascar;1973;7152391
Maldives;1973;127717
Middle East & North Africa;1973;150475905
Mexico;1973;57283361
Marshall Islands;1973;23440
Middle income;1973;2826788597
Macedonia, FYR;1973;1768996
Mali;1973;6256192
Malta;1973;302200
Myanmar;1973;29209686
Middle East & North Africa (excluding high income);1973;137699619
Montenegro;1973;530220
Mongolia;1973;1397305
Northern Mariana Islands;1973;14605
Mozambique;1973;9901052
Mauritania;1973;1253839
Mauritius;1973;864819
Malawi;1973;4996861
Malaysia;1973;11741849
North America;1973;234332208
Namibia;1973;855965
New Caledonia;1973;128500
Niger;1973;4887484
Nigeria;1973;60285453
Nicaragua;1973;2629503
Netherlands;1973;13439322
Norway;1973;3960612
Nepal;1973;12753028
Nauru;1973;6862
New Zealand;1973;2961300
OECD members;1973;922970157
Oman;1973;806989
Other small states;1973;11781479
Pakistan;1973;63062204
Panama;1973;1653257
Peru;1973;14447649
Philippines;1973;39026082
Palau;1973;12045
Papua New Guinea;1973;2652586
Poland;1973;33357200
Pre-demographic dividend;1973;260374328
Puerto Rico;1973;2878786
Korea, Dem. Peopleís Rep.;1973;15603001
Portugal;1973;8633100
Paraguay;1973;2659084
Pacific island small states;1973;1228877
Post-demographic dividend;1973;863925539
French Polynesia;1973;122355
Qatar;1973;142111
Romania;1973;20835681
Russian Federation;1973;132669000
Rwanda;1973;4102336
South Asia;1973;763491289
Saudi Arabia;1973;6697486
Sudan;1973;11283574
Senegal;1973;4625377
Singapore;1973;2193000
Solomon Islands;1973;179354
Sierra Leone;1973;2656380
El Salvador;1973;3958616
San Marino;1973;19467
Somalia;1973;3526527
Sub-Saharan Africa (excluding high income);1973;315701605
South Sudan;1973;3917450
Sub-Saharan Africa;1973;315758889
Small states;1973;18070691
Sao Tome and Principe;1973;79026
Suriname;1973;368342
Slovak Republic;1973;4641445
Slovenia;1973;1766697
Sweden;1973;8136312
Swaziland;1973;486656
Seychelles;1973;57284
Syrian Arab Republic;1973;7066474
Turks and Caicos Islands;1973;6132
Chad;1973;3908729
East Asia & Pacific (IDA & IBRD countries);1973;1188474965
Europe & Central Asia (IDA & IBRD countries);1973;362514898
Togo;1973;2303345
Thailand;1973;40164969
Tajikistan;1973;3212446
Turkmenistan;1973;2385039
Latin America & the Caribbean (IDA & IBRD countries);1973;297108880
Middle East & North Africa (IDA & IBRD countries);1973;137699619
Timor-Leste;1973;652017
Tonga;1973;86985
South Asia (IDA & IBRD);1973;763491289
Sub-Saharan Africa (IDA & IBRD countries);1973;315758889
Trinidad and Tobago;1973;982594
Tunisia;1973;5388709
Turkey;1973;37366922
Tuvalu;1973;7538
Tanzania;1973;14984973
Uganda;1973;10256342
Ukraine;1973;48127170
Upper middle income;1973;1549733012
Uruguay;1973;2822084
United States;1973;211909000
Uzbekistan;1973;13170848
St. Vincent and the Grenadines;1973;93516
Venezuela, RB;1973;12636971
British Virgin Islands;1973;10263
Virgin Islands (U.S.);1973;84000
Vietnam;1973;45825000
Vanuatu;1973;93761
Samoa;1973;148889
Yemen, Rep.;1973;6487853
South Africa;1973;23655908
Congo, Dem. Rep.;1973;21690604
